Sorting Date,Date,From,To,Location,Repository,Publication,Link
05/03/1887,05/03/1887,Walt Whitman,Edward Carpenter,"Camden, NJ","Papers of Walt Whitman (MSS 3829), Clifton Waller Barrett Library of American Literature, Albert H. Small Special Collections Library, University of Virginia.","Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 4:89–90.",https://whitmanarchive.org/biography/correspondence/tei/uva.00557.html
12/06/1888,12/06/1888-12/07/1888,Walt Whitman,Edward Carpenter,"Camden, NJ","The Walt Whitman Collection, Harry Ransom Humanities Research Center, The University of Texas at Austin.","Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 4:244–245.",https://whitmanarchive.org/biography/correspondence/tei/tex.00475.html
12/27/1888,12/27/1888,Edward Carpenter,Walt Whitman,Millthorpe,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C. ",,https://whitmanarchive.org/biography/correspondence/tei/loc.01243.html
01/11/1889,01/11/1889,Walt Whitman,Edward Carpenter,"Camden, NJ","The Walt Whitman Collection, Harry Ransom Humanities Research Center, The University of Texas at Austin.",,https://whitmanarchive.org/biography/correspondence/tei/tex.00476.html
01/13/1889,01/13/1889,Edward Carpenter,Walt Whitman,Millthorpe,"The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C.",,https://whitmanarchive.org/biography/correspondence/tei/loc.01242.html
01/16/1889,01/16/1889,Walt Whitman,Edward Carpenter,"Camden, NJ",Private collection of John Z. Katz.,"Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 4:269–270.",https://whitmanarchive.org/biography/correspondence/tei/prc.00122.html
01/27/1889,01/27/1889,Edward Carpenter,Walt Whitman,Millthorpe,"Walt Whitman Collection, Special Collections Research Center, Syracuse University Library, Syracuse, N.Y.","With Walt Whitman in Camden (1906–1998), ed. Horace Traubel (Philadelphia, PA: University of Pennsylvania Press, 1953), 4:168–169.",https://whitmanarchive.org/biography/correspondence/tei/syr.00054.html
01/29/1889,01/29/1889,John Addington Symonds,Walt Whitman,"Davos, Switzerland","The Charles E. Feinberg Collection of the Papers of Walt Whitman, 1839–1919, Library of Congress, Washington, D.C,",,https://whitmanarchive.org/biography/correspondence/tei/loc.05127.html
05/18/1889,05/18/1889,Edward Carpenter,Walt Whitman,Millthorpe,(unknown),"With Walt Whitman in Camden, ed. Horace Traubel (Carbondale, IL: Southern Illinois University Press, 1964), 5:256.",https://whitmanarchive.org/biography/correspondence/tei/med.00873.html
05/28/1889,05/28/1889,Walt Whitman,Edward Carpenter,"Camden, NJ","The Walt Whitman Collection, Harry Ransom Humanities Research Center, The University of Texas at Austin.","Walt Whitman, The Correspondence, ed. Edwin Haviland Miller (New York: New York University Press, 1961–1977), 4:341–342.",https://whitmanarchive.org/biography/correspondence/tei/tex.00477.html
